accession,assay,organism,status,hsHSR_28,mmHSR_882,mmLM_343,mmLM_363,mmLM_540,mmLM_543,mmHSR_1865,mmHSR_2365
ENCFF000VPI,ChIP-seq,human,released,75.0,50.0,29.0,12.0,20.0,63.0,16.0,23.0
ENCFF000RGV,ChIP-seq,human,released,45.0,24.0,25.0,7.0,21.0,32.0,23.0,28.0
ENCFF800PWS,DNase-seq,human,released,4.0,15.0,15.0,2.0,0.0,29.0,2.0,0.0
ENCFF000XAR,ChIP-seq,human,released,65.0,31.0,28.0,22.0,29.0,25.0,12.0,25.0
ENCFF000VXD,ChIP-seq,human,released,37.0,14.0,28.0,22.0,13.0,9.0,16.0,21.0
ENCFF000RAT,ChIP-seq,human,released,28.0,49.0,30.0,4.0,10.0,55.0,12.0,20.0
ENCFF000BXH,ChIP-seq,human,released,2.0,30.0,8.0,11.0,5.0,42.0,7.0,16.0
ENCFF000YSV,ChIP-seq,human,released,67.0,27.0,18.0,10.0,12.0,26.0,13.0,26.0
ENCFF000QMZ,ChIP-seq,human,released,10.0,39.0,16.0,10.0,11.0,24.0,7.0,23.0
ENCFF000PDT,ChIP-seq,human,released,234.0,51.0,44.0,6.0,13.0,157.0,15.0,21.0
ENCFF000NUP,ChIP-seq,human,released,16.0,49.0,40.0,20.0,9.0,47.0,9.0,11.0
ENCFF000VGT,ChIP-seq,human,released,8.0,5.0,9.0,22.0,4.0,16.0,26.0,15.0
ENCFF000VON,ChIP-seq,human,released,32.0,66.0,36.0,19.0,7.0,100.0,8.0,9.0
ENCFF000OKL,ChIP-seq,human,released,47.0,130.0,59.0,25.0,10.0,96.0,27.0,18.0
ENCFF400OAC,ChIP-seq,human,released,19.0,94.0,19.0,17.0,11.0,46.0,8.0,31.0
ENCFF000BKP,ChIP-seq,human,released,1.0,13.0,5.0,2.0,3.0,11.0,3.0,2.0
ENCFF000ZFD,ChIP-seq,human,released,30.0,31.0,17.0,8.0,9.0,23.0,19.0,29.0
ENCFF000VHM,ChIP-seq,human,released,35.0,228.0,15.0,27.0,7.0,75.0,19.0,18.0
ENCFF940ZBZ,ChIP-seq,human,released,3.0,70.0,58.0,14.0,0.0,38.0,13.0,14.0
ENCFF000WFD,ChIP-seq,human,released,52.0,64.0,43.0,30.0,11.0,47.0,19.0,27.0
ENCFF310WDZ,RNA-seq,mouse,released,69.0,0.0,21.0,0.0,19.0,1.0,0.0,762.0
ENCFF000ZQL,ChIP-seq,human,released,124.0,37.0,21.0,10.0,11.0,30.0,14.0,23.0
ENCFF220HNB,ChIP-seq,human,released,40.0,61.0,28.0,27.0,11.0,25.0,37.0,26.0
ENCFF000ZWA,ChIP-seq,human,released,99.0,31.0,26.0,11.0,14.0,29.0,9.0,34.0
ENCFF530OIU,ChIP-seq,human,released,4.0,26.0,10.0,10.0,2.0,19.0,16.0,13.0
ENCFF000BWM,ChIP-seq,human,released,9.0,7.0,6.0,12.0,0.0,11.0,7.0,6.0
ENCFF120VZS,ChIP-seq,human,released,11.0,13.0,16.0,14.0,11.0,9.0,6.0,15.0
ENCFF000AWR,ChIP-seq,human,released,16.0,33.0,38.0,31.0,19.0,32.0,17.0,22.0
ENCFF580WSQ,ChIP-seq,human,released,6.0,5.0,10.0,4.0,12.0,27.0,3.0,28.0
ENCFF000OBH,ChIP-seq,human,released,26.0,34.0,53.0,16.0,17.0,85.0,21.0,12.0
ENCFF000ARV,ChIP-seq,human,released,3.0,24.0,12.0,6.0,10.0,12.0,5.0,6.0
ENCFF880ECR,DNase-seq,human,released,200.0,19.0,15.0,4.0,7.0,13.0,6.0,13.0
ENCFF000XGX,ChIP-seq,human,released,68.0,95.0,30.0,14.0,15.0,58.0,20.0,22.0
ENCFF820TNY,ChIP-seq,human,released,6.0,123.0,46.0,24.0,9.0,46.0,22.0,11.0
ENCFF000VQW,ChIP-seq,human,released,7.0,117.0,50.0,26.0,1.0,14.0,30.0,29.0
ENCFF000BHW,ChIP-seq,human,released,2.0,22.0,13.0,10.0,6.0,30.0,10.0,11.0
ENCFF000WGS,ChIP-seq,human,released,9.0,1.0,11.0,11.0,11.0,7.0,11.0,5.0
ENCFF090USB,RNA-seq,mouse,released,336.0,0.0,196.0,0.0,373.0,2.0,0.0,0.0
ENCFF000AYQ,ChIP-seq,human,released,10.0,46.0,42.0,14.0,11.0,30.0,16.0,26.0
ENCFF080EHD,ChIP-seq,human,released,196.0,52.0,18.0,9.0,3.0,30.0,14.0,31.0
ENCFF000QBZ,ChIP-seq,human,released,10.0,56.0,23.0,15.0,12.0,36.0,16.0,9.0
ENCFF000BPE,ChIP-seq,human,released,13.0,21.0,200.0,7.0,17.0,17.0,9.0,13.0
ENCFF230GVA,ChIP-seq,human,released,4.0,3.0,4.0,1.0,3.0,18.0,2.0,2.0
ENCFF000CDZ,ChIP-seq,human,released,6.0,19.0,20.0,5.0,2.0,6.0,6.0,4.0
ENCFF440PDW,ChIP-seq,human,released,7.0,12.0,18.0,9.0,12.0,14.0,9.0,16.0
ENCFF000YIR,ChIP-seq,human,released,179.0,19.0,21.0,12.0,13.0,25.0,17.0,20.0
ENCFF000WGW,ChIP-seq,human,revoked,52.0,48.0,35.0,16.0,6.0,57.0,22.0,24.0
ENCFF630PTQ,ChIP-seq,human,released,36.0,38.0,37.0,15.0,16.0,17.0,12.0,24.0
ENCFF000PFY,ChIP-seq,human,released,191.0,10.0,10.0,14.0,16.0,57.0,10.0,30.0
ENCFF000AXG,ChIP-seq,human,released,7.0,69.0,76.0,17.0,4.0,17.0,17.0,17.0
ENCFF000YID,ChIP-seq,human,released,16.0,28.0,13.0,21.0,9.0,34.0,27.0,30.0
ENCFF000XNI,ChIP-seq,human,released,13.0,59.0,23.0,29.0,5.0,88.0,15.0,23.0
ENCFF150AWX,ChIP-seq,human,released,15.0,39.0,29.0,10.0,25.0,51.0,10.0,15.0
ENCFF210BMG,ChIP-seq,human,released,8.0,17.0,26.0,38.0,18.0,29.0,16.0,18.0
ENCFF000QCH,ChIP-seq,human,released,47.0,35.0,35.0,10.0,19.0,30.0,12.0,29.0
ENCFF000VXH,ChIP-seq,human,released,27.0,18.0,36.0,21.0,11.0,25.0,15.0,25.0
ENCFF640OOB,DNase-seq,human,released,0.0,112.0,36.0,13.0,1.0,76.0,5.0,5.0
ENCFF000MQA,RNA-seq,human,released,1274.0,69.0,379.0,0.0,49.0,0.0,0.0,0.0
ENCFF880COG,ChIP-seq,human,released,16.0,18.0,21.0,8.0,10.0,14.0,6.0,11.0
ENCFF000PTF,ChIP-seq,human,released,124.0,44.0,12.0,23.0,12.0,32.0,13.0,17.0
ENCFF850OVV,ChIP-seq,human,released,15.0,10.0,36.0,17.0,40.0,13.0,10.0,17.0
ENCFF540OQG,ChIP-seq,human,released,4.0,22.0,22.0,10.0,14.0,35.0,11.0,23.0
ENCFF000AND,ChIP-seq,human,released,5.0,5.0,7.0,12.0,9.0,21.0,15.0,16.0
ENCFF280MJD,DNase-seq,mouse,released,22926.0,16.0,9.0,7.0,6.0,3.0,1.0,8.0
ENCFF000OTW,ChIP-seq,human,released,89.0,45.0,44.0,19.0,21.0,9.0,12.0,17.0
ENCFF840DKD,RNA-seq,mouse,released,42.0,0.0,38.0,0.0,51.0,39.0,0.0,16.0
ENCFF920MUN,eCLIP,human,released,1.0,109.0,24.0,0.0,12.0,0.0,0.0,5.0
ENCFF220PHR,ChIP-seq,human,released,4.0,39.0,16.0,5.0,2.0,43.0,8.0,16.0
ENCFF000QVY,ChIP-seq,human,released,202.0,68.0,44.0,10.0,17.0,32.0,16.0,28.0
ENCFF000ZHA,ChIP-seq,human,released,83.0,29.0,13.0,5.0,8.0,73.0,10.0,15.0
ENCFF130KLT,DNase-seq,human,released,0.0,58.0,31.0,13.0,1.0,65.0,1.0,3.0
ENCFF840APC,DNase-seq,human,released,43.0,45.0,28.0,10.0,13.0,32.0,9.0,15.0
ENCFF000PJQ,ChIP-seq,human,revoked,46.0,50.0,28.0,4.0,17.0,19.0,7.0,26.0
ENCFF980IWZ,DNase-seq,human,released,0.0,174.0,46.0,13.0,0.0,104.0,4.0,7.0
ENCFF950HBZ,ChIP-seq,human,released,16.0,76.0,24.0,15.0,27.0,68.0,18.0,15.0
ENCFF000YOG,ChIP-seq,human,released,40.0,47.0,26.0,3.0,7.0,26.0,15.0,31.0
ENCFF900AIQ,RNA-seq,mouse,released,368.0,0.0,144.0,0.0,247.0,2.0,0.0,2.0
ENCFF000YLQ,ChIP-seq,human,released,32.0,35.0,20.0,9.0,7.0,33.0,12.0,28.0
ENCFF580VAX,DNase-seq,mouse,released,5775.0,47.0,24.0,11.0,23.0,141.0,68.0,122.0
ENCFF000ZOF,ChIP-seq,human,released,8.0,23.0,14.0,11.0,0.0,9.0,11.0,12.0
ENCFF000XXC,ChIP-seq,human,released,22.0,73.0,80.0,23.0,42.0,37.0,19.0,54.0
ENCFF000PDE,ChIP-seq,human,released,6.0,51.0,22.0,9.0,10.0,123.0,11.0,14.0
ENCFF000BGD,ChIP-seq,human,released,5.0,5.0,9.0,7.0,6.0,10.0,9.0,15.0
ENCFF000QBD,ChIP-seq,human,released,52.0,28.0,36.0,28.0,13.0,28.0,17.0,55.0
ENCFF000ZUU,ChIP-seq,human,released,152.0,17.0,19.0,9.0,16.0,44.0,28.0,45.0
ENCFF000XCQ,ChIP-seq,human,released,53.0,130.0,35.0,21.0,6.0,92.0,22.0,21.0
ENCFF000CDF,ChIP-seq,human,released,1.0,3.0,24.0,6.0,3.0,17.0,25.0,15.0
ENCFF700IPC,RNA-seq,mouse,released,96.0,0.0,51.0,0.0,32.0,17.0,0.0,201.0
ENCFF080DNG,RNA-seq,mouse,released,145.0,0.0,12.0,0.0,17.0,2.0,0.0,382.0
ENCFF930XGR,ChIP-seq,human,released,11.0,23.0,23.0,11.0,7.0,11.0,10.0,11.0
ENCFF000VSD,ChIP-seq,human,released,37.0,22.0,21.0,11.0,10.0,28.0,18.0,15.0
ENCFF860ICW,ChIP-seq,human,released,3.0,82.0,9.0,16.0,15.0,32.0,7.0,22.0
ENCFF050LPL,ChIP-seq,human,released,1.0,9.0,8.0,3.0,8.0,16.0,16.0,10.0
ENCFF000BHL,ChIP-seq,human,released,6.0,12.0,18.0,9.0,11.0,6.0,8.0,7.0
ENCFF000QAL,ChIP-seq,human,released,54.0,50.0,32.0,19.0,6.0,46.0,24.0,15.0
ENCFF000ZOM,ChIP-seq,human,released,151.0,16.0,24.0,7.0,7.0,16.0,25.0,30.0
ENCFF350KNJ,ChIP-seq,human,released,17.0,68.0,29.0,17.0,12.0,19.0,16.0,10.0
ENCFF000MSN,RNA-seq,human,released,268.0,468.0,408.0,0.0,73.0,0.0,1.0,2.0
ENCFF750IZJ,RNA-seq,mouse,released,111.0,0.0,52.0,0.0,25.0,23.0,0.0,183.0
ENCFF000YJU,ChIP-seq,human,released,28.0,63.0,42.0,16.0,13.0,53.0,24.0,17.0
ENCFF890LTC,ChIP-seq,human,released,9.0,10.0,18.0,8.0,6.0,12.0,9.0,12.0
ENCFF460RIG,eCLIP,human,released,0.0,101.0,7.0,0.0,0.0,0.0,0.0,1.0
ENCFF000YJT,ChIP-seq,human,released,37.0,69.0,22.0,20.0,8.0,40.0,12.0,14.0
ENCFF000OLZ,ChIP-seq,human,released,25.0,52.0,51.0,19.0,10.0,44.0,18.0,23.0
ENCFF000WBP,ChIP-seq,human,revoked,31.0,37.0,25.0,16.0,11.0,42.0,14.0,15.0
ENCFF000QAV,ChIP-seq,human,released,8.0,128.0,61.0,23.0,0.0,121.0,13.0,9.0
ENCFF000XNF,ChIP-seq,human,released,17.0,25.0,11.0,6.0,9.0,36.0,8.0,16.0
ENCFF000OPS,ChIP-seq,human,released,23.0,38.0,28.0,25.0,13.0,21.0,20.0,43.0
ENCFF260FBF,ChIP-seq,human,released,13.0,62.0,48.0,13.0,8.0,67.0,20.0,22.0
ENCFF810VLQ,eCLIP,human,released,0.0,62.0,16.0,0.0,9.0,0.0,0.0,4.0
ENCFF000VYT,ChIP-seq,human,released,20.0,47.0,35.0,19.0,16.0,48.0,18.0,14.0
ENCFF800IWM,ChIP-seq,human,released,8.0,90.0,58.0,15.0,11.0,72.0,21.0,21.0
ENCFF950FFF,RNA-seq,mouse,released,237.0,0.0,26.0,0.0,19.0,11.0,0.0,275.0
ENCFF190JZI,ChIP-seq,human,released,1.0,26.0,12.0,5.0,9.0,26.0,4.0,3.0
ENCFF000CEJ,ChIP-seq,human,released,30.0,77.0,78.0,28.0,2.0,35.0,6.0,7.0
ENCFF660BRW,ChIP-seq,human,released,9.0,16.0,21.0,12.0,9.0,14.0,5.0,11.0
ENCFF050AAI,ChIP-seq,human,released,7.0,10.0,39.0,7.0,15.0,7.0,9.0,10.0
ENCFF000BUJ,ChIP-seq,human,released,8.0,5.0,9.0,6.0,12.0,5.0,11.0,22.0
ENCFF600IWZ,ChIP-seq,human,released,1.0,13.0,13.0,13.0,0.0,11.0,6.0,7.0
ENCFF620FXM,RNA-seq,mouse,released,90.0,0.0,16.0,0.0,24.0,11.0,0.0,295.0
ENCFF960LQP,RNA-seq,mouse,released,49.0,0.0,38.0,0.0,48.0,13.0,0.0,148.0
ENCFF000OIE,ChIP-seq,human,released,32.0,96.0,46.0,35.0,9.0,451.0,11.0,24.0
ENCFF550UKJ,ChIP-seq,human,released,40.0,25.0,62.0,10.0,24.0,18.0,16.0,8.0
ENCFF000CEI,ChIP-seq,human,released,14.0,88.0,84.0,16.0,1.0,23.0,13.0,13.0
ENCFF350KJX,DNase-seq,mouse,released,56599.0,38.0,24.0,13.0,14.0,17.0,7.0,5.0
ENCFF000VCW,ChIP-seq,human,released,224.0,29.0,19.0,10.0,16.0,21.0,24.0,15.0
ENCFF000ASD,ChIP-seq,human,released,13.0,12.0,11.0,13.0,9.0,4.0,7.0,13.0
ENCFF000VUP,ChIP-seq,human,released,31.0,28.0,48.0,21.0,13.0,53.0,20.0,16.0
ENCFF000BYS,ChIP-seq,human,released,2.0,20.0,51.0,5.0,4.0,6.0,1.0,38.0
ENCFF000BIC,ChIP-seq,human,released,3.0,109.0,25.0,27.0,5.0,92.0,1.0,11.0
ENCFF000XBN,ChIP-seq,human,released,21.0,26.0,16.0,9.0,12.0,32.0,7.0,6.0
ENCFF000BIF,ChIP-seq,human,released,5.0,122.0,30.0,42.0,4.0,141.0,7.0,4.0
ENCFF000VTM,ChIP-seq,human,released,26.0,40.0,36.0,24.0,16.0,39.0,10.0,18.0
ENCFF000YFP,ChIP-seq,human,released,94.0,40.0,25.0,13.0,9.0,34.0,13.0,22.0
ENCFF450ESS,DNase-seq,human,released,3.0,90.0,26.0,11.0,2.0,49.0,10.0,7.0
ENCFF000RIH,ChIP-seq,human,released,52.0,45.0,22.0,11.0,20.0,18.0,16.0,22.0
ENCFF080OTJ,ChIP-seq,human,released,7.0,24.0,10.0,11.0,7.0,25.0,13.0,5.0
ENCFF000XHF,ChIP-seq,human,released,49.0,68.0,16.0,10.0,15.0,33.0,13.0,10.0
ENCFF000ZVJ,ChIP-seq,human,released,26.0,17.0,14.0,18.0,10.0,52.0,16.0,27.0
ENCFF000PHP,ChIP-seq,human,released,35.0,47.0,34.0,32.0,10.0,65.0,23.0,27.0
ENCFF190NEX,ChIP-seq,mouse,released,3997.0,51.0,34.0,7.0,30.0,31.0,38.0,68.0
ENCFF000XEJ,ChIP-seq,human,released,27.0,20.0,15.0,14.0,27.0,33.0,20.0,37.0
ENCFF000NMT,ChIP-seq,human,released,21.0,39.0,48.0,15.0,20.0,59.0,20.0,34.0
ENCFF000XTO,ChIP-seq,human,released,25.0,26.0,17.0,23.0,17.0,37.0,24.0,18.0
ENCFF000ZCA,ChIP-seq,human,released,211.0,34.0,28.0,9.0,4.0,30.0,17.0,24.0
ENCFF000BPO,ChIP-seq,human,released,12.0,15.0,34.0,4.0,19.0,37.0,4.0,8.0
ENCFF000CFW,ChIP-seq,human,released,11.0,2.0,22.0,8.0,10.0,6.0,11.0,17.0
ENCFF000BLO,ChIP-seq,human,released,5.0,16.0,6.0,3.0,2.0,11.0,12.0,11.0
ENCFF880XUQ,ChIP-seq,mouse,released,7899.0,71.0,24.0,9.0,19.0,20.0,16.0,26.0
ENCFF560YXX,RNA-seq,mouse,released,21.0,0.0,35.0,0.0,27.0,44.0,0.0,24.0
ENCFF000YLA,ChIP-seq,human,released,33.0,38.0,12.0,5.0,8.0,35.0,15.0,29.0
ENCFF000ZLE,ChIP-seq,human,released,5.0,61.0,7.0,13.0,3.0,41.0,4.0,5.0
ENCFF000PST,ChIP-seq,human,released,52.0,36.0,24.0,24.0,14.0,42.0,9.0,8.0
ENCFF470RDW,RNA-seq,mouse,released,87.0,0.0,21.0,0.0,23.0,3.0,0.0,595.0
ENCFF000NTS,ChIP-seq,human,released,18.0,26.0,45.0,23.0,67.0,33.0,20.0,18.0
ENCFF390DXB,ChIP-seq,human,released,7.0,8.0,9.0,5.0,9.0,3.0,17.0,22.0
ENCFF000ZUL,ChIP-seq,human,released,78.0,47.0,31.0,15.0,10.0,86.0,17.0,33.0
ENCFF000BMA,ChIP-seq,human,released,5.0,1.0,10.0,3.0,15.0,21.0,2.0,7.0
ENCFF000ZNL,ChIP-seq,human,released,10.0,20.0,17.0,9.0,8.0,10.0,13.0,5.0
ENCFF390CSU,DNase-seq,mouse,released,508.0,45.0,12.0,2.0,5.0,5.0,3.0,3.0
ENCFF000SLW,DNase-seq,human,released,12.0,832.0,157.0,39.0,2.0,307.0,26.0,30.0
ENCFF320OTV,ChIP-seq,human,released,18.0,47.0,18.0,12.0,5.0,22.0,11.0,17.0
ENCFF040EEJ,RNA-seq,mouse,released,94.0,0.0,51.0,0.0,62.0,27.0,0.0,12.0
ENCFF000RIR,ChIP-seq,human,released,23.0,94.0,31.0,13.0,16.0,39.0,12.0,19.0
ENCFF590CFV,ChIP-seq,human,released,17.0,20.0,27.0,8.0,15.0,14.0,10.0,12.0
ENCFF580QHO,ChIP-seq,human,released,5.0,3.0,8.0,6.0,12.0,17.0,4.0,17.0
ENCFF000ZVD,ChIP-seq,human,released,47.0,27.0,18.0,14.0,8.0,17.0,15.0,29.0
ENCFF000BEI,ChIP-seq,human,released,5.0,5.0,6.0,4.0,10.0,8.0,6.0,15.0
ENCFF150YLW,ChIP-seq,human,released,96.0,38.0,25.0,19.0,14.0,15.0,16.0,27.0
ENCFF000PIM,ChIP-seq,human,released,27.0,22.0,24.0,19.0,6.0,39.0,17.0,29.0
ENCFF000NXJ,ChIP-seq,human,released,23.0,32.0,45.0,20.0,16.0,37.0,20.0,31.0
ENCFF870LBH,ChIP-seq,human,released,4.0,13.0,9.0,7.0,14.0,6.0,5.0,20.0
ENCFF000RPI,ChIP-seq,human,released,15.0,36.0,30.0,16.0,28.0,1.0,18.0,14.0
ENCFF000OJH,ChIP-seq,human,released,16.0,76.0,49.0,23.0,19.0,146.0,19.0,15.0
ENCFF390AUP,RNA-seq,mouse,released,102.0,0.0,116.0,0.0,267.0,0.0,0.0,3.0
ENCFF000MXT,ChIP-seq,human,released,45.0,31.0,26.0,15.0,17.0,31.0,17.0,9.0
ENCFF210BVU,RNA-seq,mouse,released,66.0,0.0,48.0,0.0,52.0,42.0,0.0,20.0
ENCFF000YPO,ChIP-seq,human,released,24.0,56.0,44.0,6.0,18.0,8.0,3.0,17.0
ENCFF000AYG,ChIP-seq,human,released,11.0,41.0,37.0,12.0,5.0,31.0,20.0,17.0
ENCFF740WXS,RNA-seq,mouse,released,1563.0,0.0,67.0,0.0,83.0,1.0,0.0,298.0
ENCFF780KZJ,ChIP-seq,human,released,8.0,86.0,60.0,27.0,8.0,126.0,19.0,24.0
ENCFF920PYS,ChIP-seq,human,released,3.0,16.0,17.0,5.0,4.0,20.0,7.0,8.0
ENCFF380IZN,DNase-seq,human,released,55.0,182.0,72.0,54.0,6.0,136.0,49.0,28.0
ENCFF000YSC,ChIP-seq,human,released,31.0,38.0,22.0,13.0,9.0,28.0,12.0,22.0
ENCFF900AZQ,DNase-seq,mouse,released,1741.0,20.0,15.0,3.0,7.0,0.0,3.0,7.0
ENCFF270IMW,ChIP-seq,human,released,7.0,20.0,13.0,6.0,12.0,15.0,4.0,8.0
ENCFF000NBX,ChIP-seq,human,released,15.0,71.0,29.0,22.0,7.0,78.0,10.0,17.0
ENCFF180XGO,ChIP-seq,human,released,27.0,42.0,19.0,12.0,17.0,30.0,11.0,15.0
ENCFF390ZZH,RNA-seq,mouse,released,1000.0,0.0,170.0,0.0,326.0,0.0,0.0,13.0
ENCFF000QIY,ChIP-seq,human,released,62.0,53.0,26.0,22.0,10.0,38.0,17.0,24.0
ENCFF000CKR,ChIP-seq,human,released,16.0,2.0,51.0,0.0,29.0,3.0,7.0,7.0
ENCFF000CCY,ChIP-seq,human,released,14.0,16.0,9.0,8.0,3.0,9.0,6.0,23.0
ENCFF000XEM,ChIP-seq,human,released,49.0,24.0,8.0,6.0,12.0,23.0,14.0,9.0
ENCFF440EIF,ChIP-seq,human,released,3.0,6.0,1.0,1.0,4.0,8.0,2.0,6.0
ENCFF990EPE,DNase-seq,mouse,released,7264.0,57.0,8.0,5.0,2.0,2.0,8.0,4.0
ENCFF000XBY,ChIP-seq,human,released,53.0,97.0,41.0,14.0,13.0,69.0,10.0,22.0
ENCFF000AUK,ChIP-seq,human,released,8.0,51.0,36.0,26.0,14.0,39.0,11.0,20.0
ENCFF000ATK,ChIP-seq,human,released,4.0,9.0,21.0,7.0,2.0,8.0,3.0,7.0
ENCFF000VWF,ChIP-seq,human,released,11.0,11.0,29.0,18.0,9.0,19.0,13.0,20.0
ENCFF000VFW,ChIP-seq,human,released,8.0,49.0,13.0,80.0,11.0,64.0,10.0,17.0
ENCFF000VIX,ChIP-seq,human,released,3.0,9.0,9.0,4.0,4.0,10.0,0.0,2.0
ENCFF840OOD,ChIP-seq,human,released,4.0,6.0,20.0,2.0,18.0,11.0,7.0,8.0
ENCFF000BOM,ChIP-seq,human,released,14.0,111.0,43.0,36.0,4.0,35.0,13.0,14.0
ENCFF700KZI,DNase-seq,human,released,4.0,64.0,21.0,5.0,1.0,455.0,8.0,9.0
ENCFF000CSF,ChIP-seq,human,released,16.0,32.0,95.0,13.0,14.0,35.0,16.0,7.0
ENCFF810EZK,ChIP-seq,human,released,18.0,66.0,30.0,26.0,10.0,75.0,25.0,23.0
ENCFF770PZK,ChIP-seq,human,released,7.0,33.0,16.0,10.0,10.0,11.0,8.0,16.0
ENCFF380ABN,ChIP-seq,mouse,released,354.0,108.0,23.0,15.0,17.0,10.0,26.0,23.0
ENCFF000VCY,ChIP-seq,human,released,151.0,47.0,27.0,12.0,11.0,48.0,19.0,29.0
ENCFF480QMP,ChIP-seq,human,released,21.0,30.0,23.0,11.0,38.0,43.0,16.0,24.0
ENCFF000CVG,ChIP-seq,human,released,6.0,3.0,4.0,0.0,5.0,1.0,3.0,2.0
ENCFF740LII,ChIP-seq,human,released,13.0,38.0,17.0,20.0,9.0,43.0,18.0,14.0
ENCFF000BHF,ChIP-seq,human,released,17.0,11.0,21.0,11.0,12.0,8.0,6.0,16.0
ENCFF390HYY,ChIP-seq,human,released,98.0,31.0,18.0,15.0,8.0,22.0,8.0,19.0
ENCFF620MPI,ChIP-seq,human,released,10.0,38.0,33.0,10.0,22.0,53.0,13.0,13.0
ENCFF000PIJ,ChIP-seq,human,released,50.0,8.0,18.0,12.0,37.0,24.0,7.0,53.0
ENCFF000RHM,ChIP-seq,human,released,55.0,49.0,26.0,18.0,38.0,18.0,12.0,21.0
ENCFF000WDI,ChIP-seq,human,released,21.0,26.0,31.0,12.0,17.0,33.0,23.0,17.0
ENCFF920HJB,ChIP-seq,human,released,2.0,23.0,18.0,10.0,12.0,26.0,14.0,19.0
ENCFF260LQF,ChIP-seq,human,released,9.0,38.0,13.0,6.0,26.0,24.0,1.0,10.0
ENCFF000OWA,ChIP-seq,human,released,23.0,31.0,25.0,45.0,6.0,42.0,17.0,16.0
ENCFF500SYJ,ChIP-seq,human,released,111.0,25.0,11.0,10.0,3.0,24.0,7.0,28.0
ENCFF000WFR,ChIP-seq,human,released,14.0,46.0,39.0,21.0,14.0,69.0,33.0,18.0
ENCFF000NZG,ChIP-seq,human,released,24.0,35.0,35.0,16.0,8.0,31.0,16.0,26.0
ENCFF000CED,ChIP-seq,human,released,23.0,12.0,18.0,6.0,12.0,23.0,5.0,17.0
ENCFF430RNA,ChIP-seq,human,released,79.0,68.0,37.0,25.0,25.0,88.0,8.0,14.0
ENCFF000NBR,ChIP-seq,human,released,18.0,63.0,41.0,19.0,3.0,56.0,14.0,15.0
ENCFF950WTJ,ChIP-seq,human,released,13.0,33.0,17.0,7.0,14.0,12.0,9.0,7.0
ENCFF000OGC,ChIP-seq,human,released,26.0,23.0,36.0,17.0,11.0,25.0,11.0,16.0
ENCFF000YYI,ChIP-seq,human,released,30.0,37.0,22.0,9.0,14.0,26.0,15.0,38.0
ENCFF040XDV,DNase-seq,human,released,2024.0,21.0,12.0,10.0,7.0,52.0,16.0,10.0
ENCFF000XZW,ChIP-seq,human,released,9.0,0.0,12.0,25.0,16.0,13.0,20.0,20.0
ENCFF000VVW,ChIP-seq,human,revoked,3.0,2.0,8.0,5.0,5.0,4.0,3.0,8.0
ENCFF000CDL,ChIP-seq,human,released,6.0,4.0,5.0,4.0,5.0,6.0,3.0,8.0
ENCFF000PYR,ChIP-seq,human,released,66.0,60.0,23.0,14.0,16.0,40.0,17.0,22.0
ENCFF000OFJ,ChIP-seq,human,released,44.0,64.0,33.0,33.0,16.0,66.0,26.0,30.0
ENCFF000AYH,ChIP-seq,human,released,6.0,41.0,39.0,14.0,6.0,32.0,24.0,7.0
ENCFF000XXL,ChIP-seq,human,released,18.0,27.0,28.0,24.0,9.0,19.0,16.0,19.0
ENCFF000BPW,ChIP-seq,human,released,5.0,19.0,18.0,5.0,5.0,24.0,0.0,6.0
ENCFF000BPB,ChIP-seq,human,released,2.0,33.0,5.0,7.0,2.0,22.0,36.0,11.0
ENCFF000CHU,ChIP-seq,human,released,9.0,13.0,95.0,8.0,15.0,5.0,4.0,13.0
ENCFF000WDK,ChIP-seq,human,released,15.0,47.0,39.0,22.0,19.0,40.0,12.0,20.0
ENCFF000WOA,ChIP-seq,human,released,78.0,30.0,29.0,17.0,7.0,33.0,15.0,16.0
ENCFF000QHK,ChIP-seq,human,released,37.0,68.0,36.0,16.0,10.0,54.0,28.0,23.0
ENCFF220GKL,RNA-seq,mouse,released,82.0,0.0,17.0,0.0,13.0,11.0,0.0,324.0
ENCFF920XMT,ChIP-seq,mouse,released,10946.0,36.0,13.0,5.0,14.0,23.0,8.0,4.0
ENCFF410QJG,ChIP-seq,human,released,15.0,118.0,43.0,25.0,9.0,126.0,12.0,15.0
ENCFF000XDO,ChIP-seq,human,released,4.0,74.0,31.0,8.0,7.0,77.0,16.0,8.0
ENCFF000ZJW,ChIP-seq,human,released,48.0,42.0,12.0,15.0,10.0,127.0,8.0,13.0
ENCFF610SND,ChIP-seq,human,released,8.0,13.0,23.0,8.0,14.0,21.0,11.0,13.0
ENCFF000AKS,ChIP-seq,human,released,3.0,3.0,11.0,3.0,13.0,8.0,3.0,7.0
ENCFF000OKM,ChIP-seq,human,released,86.0,38.0,33.0,11.0,11.0,30.0,31.0,9.0
ENCFF880GRB,ChIP-seq,human,released,10.0,18.0,51.0,3.0,22.0,55.0,8.0,13.0
ENCFF760WSG,ChIP-seq,human,released,9.0,40.0,171.0,8.0,29.0,19.0,9.0,10.0
ENCFF000NLI,ChIP-seq,human,released,12.0,38.0,12.0,6.0,21.0,13.0,9.0,8.0
ENCFF090EUZ,RNA-seq,mouse,released,53.0,0.0,36.0,0.0,26.0,8.0,0.0,319.0
